candidate_id,wals_feature_id,wals_value_number,wals_value_label,gb_formula,gb_features_used,relation_type,confidence_tier,scope_caveat,evidence_type,semantic_rationale,include_in_gold,include_in_eval,n_observed,precision,recall,f1,mcc,jaccard,f1_ci_lo,f1_ci_hi,perm_p
77A-1::GB322=0,77A,1,No grammatical evidentials,GB322=0,GB322,NEAR_EXACT,A,none,doc_link,Both assert absence of grammatical evidentiality. Near-exact; minor scope differences in what counts as grammatical evidential.,True,True,212,0.4904,0.9059,0.6364,0.3086,0.4667,0.5288,0.7317,0.0
77A-2::GB323=1,77A,2,Indirect only,GB323=1,GB323,NEAR_EXACT,A,none,doc_link,WALS 77A 'Indirect only' and GB323=1 (indirect evidential present) directly correspond. Near-exact.,True,True,215,0.6373,0.7065,0.6701,0.402,0.5039,0.574,0.7639,0.0
77A-3::GB322=1,77A,3,Direct and indirect,GB322=1,GB322,NEAR_EXACT,A,none,doc_link,WALS 77A 'Direct and indirect' implies GB322=1 (direct evidential present). Near-exact; GB322 does not require indirect to also be present.,True,True,212,0.4909,0.6923,0.5745,0.4689,0.403,0.4226,0.6781,0.0
67A-1::GB084=1,67A,1,Inflectional future exists,GB084=1,GB084,NEAR_EXACT,A,none,doc_link,WALS 67A 'Inflectional future' and GB084=1 ('overt morphological future tense') directly correspond.,True,True,154,0.7222,0.6933,0.7075,0.441,0.5474,0.5971,0.7817,0.0
67A-2::GB084=0,67A,2,No inflectional future,GB084=0,GB084,NEAR_EXACT,A,none,doc_link,Both assert absence of dedicated inflectional future morphology.,True,True,154,0.7195,0.7468,0.7329,0.441,0.5784,0.6515,0.8058,0.0
79A-3::GB110=1,79A,3,Tense and aspect,GB110=1,GB110,NEAR_EXACT,A,multi_value_collapse,doc_link,"WALS 79A 'Tense and aspect suppletion' maps to GB110=1 ('verb suppletion for tense or aspect'). Near-exact; GB110 uses 'or' while WALS value specifies 'and', so GB110=1 is slightly broader.",True,True,128,0.4483,0.6842,0.5417,0.4564,0.3714,0.1701,0.6634,0.0
79A-1::GB110=1,79A,1,Tense,GB110=1,GB110,DIRECTIONAL,B,multi_value_collapse,doc_link,WALS 79A 'Tense only' suppletion implies GB110=1. Directional because GB110=1 includes aspect suppletion too.,False,True,128,0.3448,0.3846,0.3636,0.1906,0.2222,0.1974,0.5136,0.034
55A-1::GB057=0,55A,1,Absent,GB057=0,GB057,NEAR_EXACT,A,none,doc_link,Both assert absence of numeral classifiers.,True,True,283,0.8818,0.9275,0.904,0.6834,0.8249,0.8499,0.9582,0.0
55A-2::GB057=1,55A,2,Optional,GB057=1,GB057,DIRECTIONAL,A,presence_vs_dominance,doc_link,WALS 55A 'Optional' and GB057=1 both assert presence of numeral classifiers. Directional because WALS distinguishes optional vs obligatory; GB only marks presence.,True,True,283,0.3125,0.6757,0.4274,0.3385,0.2717,0.1786,0.533,0.0
55A-3::GB057=1,55A,3,Obligatory,GB057=1,GB057,DIRECTIONAL,A,presence_vs_dominance,doc_link,WALS 55A 'Obligatory' implies GB057=1. Same directional caveat.,True,True,283,0.5125,0.7736,0.6165,0.5233,0.4457,0.5011,0.7723,0.0
39A-3::GB028=1,39A,3,No inclusive/exclusive,GB028=1,GB028,NEAR_EXACT,A,none,doc_link,Both code presence of inclusive/exclusive distinction in first-person forms. GB028 explicitly includes pronouns and person indexes; WALS 39A targets independent pronouns.,True,True,150,0.1429,0.1047,0.1208,-0.7406,0.0643,0.0539,0.1967,1.0
39A-5::GB028=1,39A,5,Inclusive/exclusive,GB028=1,GB028,NEAR_EXACT,A,none,doc_link,Both code presence of inclusive/exclusive distinction in first-person forms. GB028 explicitly includes pronouns and person indexes; WALS 39A targets independent pronouns.,True,True,150,0.7778,0.9423,0.8522,0.7709,0.7424,0.7336,0.9275,0.0
39A-3::GB028=0,39A,3,No inclusive/exclusive,GB028=0,GB028,NEAR_EXACT,A,none,doc_link,Both assert absence of clusivity distinction.,True,True,150,0.8851,0.8953,0.8902,0.7406,0.8021,0.8339,0.934,0.0
41A-3::GB035=1,41A,3,Three-way contrast,GB035=1,GB035,NEAR_EXACT,A,none,doc_link,WALS 41A 'Three-way contrast' and GB035=1 ('three or more distance contrasts in adnominal demonstratives') directly correspond.,True,True,171,0.7051,0.8209,0.7586,0.5878,0.6111,0.6244,0.8436,0.0
41A-4::GB035=1,41A,4,Four-way contrast,GB035=1,GB035,DIRECTIONAL,A,multi_value_collapse,doc_link,"Four-way implies three-or-more, so GB035=1 is a projection of both three-way and four-way values.",True,True,171,0.0641,0.8333,0.119,0.1444,0.0633,0.0,0.2308,0.062
44A-1::GB030=1,44A,1,In 3rd person + 1st and/or 2nd person,GB030=1,GB030,NEAR_EXACT,A,none,doc_link,WALS 44A values with 3rd-person gender and GB030=1 both code gender distinctions in 3rd-person independent pronouns.,True,True,298,0.1548,1.0,0.268,0.3409,0.1548,0.0367,0.4879,0.0
44A-2::GB030=1,44A,2,"3rd person only, but also non-singular",GB030=1,GB030,NEAR_EXACT,A,none,doc_link,WALS 44A values with 3rd-person gender and GB030=1 both code gender distinctions in 3rd-person independent pronouns.,True,True,298,0.25,0.6774,0.3652,0.2996,0.2234,0.2138,0.4816,0.0
44A-3::GB030=1,44A,3,3rd person singular only,GB030=1,GB030,NEAR_EXACT,A,none,doc_link,WALS 44A values with 3rd-person gender and GB030=1 both code gender distinctions in 3rd-person independent pronouns.,True,True,298,0.4524,0.8085,0.5802,0.5065,0.4086,0.4561,0.6883,0.0
44A-5::GB030=1,44A,5,3rd person non-singular only,GB030=1,GB030,NEAR_EXACT,A,none,doc_link,WALS 44A values with 3rd-person gender and GB030=1 both code gender distinctions in 3rd-person independent pronouns.,True,True,298,0.0,0.0,0.0,0.0,0.0,,,
44A-6::GB030=0,44A,6,No gender distinctions,GB030=0,GB030,NEAR_EXACT,A,none,doc_link,Both assert no gender distinction in independent pronouns.,True,True,298,0.9019,0.9415,0.9212,0.737,0.854,0.8736,0.9567,0.0
45A-1::GB415=0,45A,1,No politeness distinction,GB415=0,GB415,NEAR_EXACT,A,none,doc_link,Both assert no 2nd-person politeness distinction.,True,True,107,0.8333,0.9322,0.88,0.7192,0.7857,0.7932,0.947,0.0
45A-2::GB415=1,45A,2,Binary politeness distinction,GB415=1,GB415,NEAR_EXACT,A,none,doc_link,Both assert a 2nd-person politeness distinction.,True,True,107,0.5366,0.6875,0.6027,0.4089,0.4314,0.3333,0.7,0.0
45A-3::GB415=1,45A,3,Multiple politeness distinctions,GB415=1,GB415,DIRECTIONAL,A,multi_value_collapse,doc_link,Multiple distinctions implies presence of politeness marking.,True,True,107,0.2439,0.9091,0.3846,0.3662,0.2381,0.1643,0.5153,0.0
36A-4::GB046=0,36A,4,No associative plural,GB046=0,GB046,NEAR_EXACT,A,none,doc_link,Both assert no associative plural.,True,True,120,0.2667,0.7273,0.3902,0.2154,0.2424,0.0956,0.5664,0.016
36A-2::GB046=1,36A,2,Unique affixal associative plural,GB046=1,GB046,DIRECTIONAL,A,presence_vs_dominance,doc_link,WALS 36A specific strategy values all imply GB046=1 (associative plural present). Directional: WALS preserves strategy subtype; GB only presence.,True,True,120,0.1,0.375,0.1579,-0.0981,0.0857,0.057,0.2764,0.904
36A-3::GB046=1,36A,3,Unique periphrastic associative plural,GB046=1,GB046,DIRECTIONAL,A,presence_vs_dominance,doc_link,Same as above for periphrastic strategy.,True,True,120,0.2,0.4138,0.2697,-0.0973,0.1558,0.0851,0.4492,0.904
36A-1::GB046=1,36A,1,Associative same as additive plural,GB046=1,GB046,DIRECTIONAL,A,presence_vs_dominance,doc_link,Same as above.,True,True,120,0.6,0.6792,0.6372,0.3188,0.4675,0.4748,0.7657,0.0
63A-1::GB027=1,63A,1,'And' different from 'with',GB027=1,GB027,NEAR_EXACT,A,none,doc_link,Both WALS 63A and GB027=1 code that NP coordination 'and' and comitative 'with' are expressed by different elements.,True,True,140,0.7553,0.8659,0.8068,0.4922,0.6762,0.7129,0.884,0.0
63A-2::GB027=0,63A,2,'And' identical to 'with',GB027=0,GB027,NEAR_EXACT,B,none,doc_link,Near-exact when both constructions are overtly marked; caveat if one is zero-marked.,False,True,140,0.7609,0.6034,0.6731,0.4922,0.5072,0.478,0.7692,0.0
118A-1::GB068=1,118A,1,Verbal encoding,GB068=1,GB068,NEAR_EXACT,A,none,doc_link,WALS 118A 'Verbal' and GB068=1 both code predicative adjectives behaving like verbs.,True,True,243,0.6579,0.8242,0.7317,0.5505,0.5769,0.6144,0.8,0.0
118A-2::GB068=1,118A,2,Nonverbal encoding,GB068=1,GB068,NEAR_EXACT,A,none,doc_link,WALS 118A 'Verbal' and GB068=1 both code predicative adjectives behaving like verbs.,True,True,243,0.0614,0.0805,0.0697,-0.5816,0.0361,0.0336,0.108,1.0
118A-2::GB068=0,118A,2,Nonverbal encoding,GB068=0,GB068,NEAR_EXACT,A,none,doc_link,WALS 118A 'Nonverbal' and GB068=0 both code non-verbal predicative adjective encoding.,True,True,243,0.6202,0.9195,0.7407,0.5816,0.5882,0.5857,0.8523,0.0
105A-2::GB105=1,105A,2,Double-object construction,GB105=1,GB105,NEAR_EXACT,A,exclusive_vs_presence,doc_link,WALS 105A 'Double-object construction' and GB105=1 both mark recipient coded like transitive patient. Near-exact.,True,True,246,0.2993,0.8627,0.4444,0.2766,0.2857,0.2847,0.5791,0.0
105A-1::GB105=0,105A,1,Indirect-object construction,GB105=0,GB105,NEAR_EXACT,A,exclusive_vs_presence,doc_link,WALS 105A 'Indirect-object construction' implies GB105=0. Near-exact.,True,True,246,0.798,0.6639,0.7248,0.516,0.5683,0.6387,0.7983,0.0
101A-5::GB522=1,101A,5,Optional pronouns in subject position,GB522=1,GB522,NEAR_EXACT,A,none,doc_link,WALS 101A 'Optional pronouns in subject position' and GB522=1 ('pro-drop allowed') directly correspond.,True,True,301,0.1255,0.8529,0.2189,0.0722,0.1229,0.1095,0.3197,0.176
101A-1::GB522=0,101A,1,Obligatory pronouns in subject position,GB522=0,GB522,NEAR_EXACT,A,none,doc_link,Both assert mandatory overt subject pronouns.,True,True,301,0.3143,0.6471,0.4231,0.3501,0.2683,0.2235,0.6195,0.0
71A-2::GB139=1,71A,2,Normal imperative + special negative,GB139=1,GB139,NEAR_EXACT,A,none,doc_link,Any WALS 71A value involving a special negative form maps to GB139=1.,True,True,333,0.4772,0.8779,0.6183,0.2776,0.4475,0.5345,0.6757,0.0
71A-4::GB139=1,71A,4,Special imperative + special negative,GB139=1,GB139,NEAR_EXACT,A,none,doc_link,Any WALS 71A value involving a special negative form maps to GB139=1.,True,True,333,0.3402,0.8454,0.4852,0.1744,0.3203,0.4221,0.5538,0.0
71A-3::GB139=1,71A,3,Special imperative + normal negative,GB139=1,GB139,NEAR_EXACT,A,none,doc_link,Any WALS 71A value involving a special imperative form maps to GB139=1.,True,True,333,0.0705,0.5484,0.125,-0.1256,0.0667,0.0636,0.1945,0.992
131A-1::GB333=1,131A,1,Decimal,GB333=1,GB333,NEAR_EXACT,A,none,doc_link,Both code a base-10 numeral system.,True,True,124,0.8444,0.962,0.8994,0.7016,0.8172,0.8418,0.9521,0.0
131A-2::GB333=1,131A,2,Hybrid vigesimal-decimal,GB333=1,GB333,NEAR_EXACT,A,none,doc_link,Both code a base-10 numeral system.,True,True,124,0.0889,0.5714,0.1538,-0.1235,0.0833,0.0515,0.2497,0.958
131A-3::GB335=1,131A,3,Pure vigesimal,GB335=1,GB335,NEAR_EXACT,A,multi_value_collapse,doc_link,Both code a vigesimal (base-20) numeral system. Hybrid vigesimal-decimal also maps to GB335=1.,True,True,115,0.36,0.8182,0.5,0.4737,0.3333,0.25,0.7027,0.0
107A-1::GB147=1,107A,1,Present,GB147=1,GB147,NEAR_EXACT,A,exclusive_vs_presence,doc_link,WALS 107A 'Passive present' and GB147=1 both assert presence of passive construction.,True,True,272,0.7815,0.7381,0.7592,0.5629,0.6118,0.6884,0.8282,0.0
107A-2::GB147=0,107A,2,Absent,GB147=0,GB147,NEAR_EXACT,A,exclusive_vs_presence,doc_link,Both assert no passive construction.,True,True,272,0.7843,0.8219,0.8027,0.5629,0.6704,0.7289,0.8618,0.0
111A-2::GB155=1,111A,2,Morphological but no compound,GB155=1,GB155,NEAR_EXACT,A,none,doc_link,Both code presence of morphological (affix/clitic) causative.,True,True,229,0.9243,0.8953,0.9096,0.4975,0.8341,0.852,0.9498,0.0
111A-1::GB155=0,111A,1,Neither,GB155=0,GB155,NEAR_EXACT,A,none,doc_link,Both assert no morphological causative.,True,True,229,0.2273,0.7692,0.3509,0.3593,0.2128,0.1882,0.5137,0.0
117A-5::GB250=1,117A,5,'Have',GB250=1,GB250,NEAR_EXACT,B,exclusive_vs_presence,doc_link,"WALS 117A 'HAVE' and GB250=1 both code predicative possession via a transitive HAVE verb. Near-exact for the strategy; WALS assigns one dominant strategy per language while GB codes presence, potentially causing profile divergence.",False,True,120,0.5,0.8929,0.641,0.5329,0.4717,0.4348,0.7843,0.0
117A-1::GB252=1,117A,1,Locational,GB252=1,GB252,NEAR_EXACT,B,exclusive_vs_presence,doc_link,Both code locational predicative possession strategy. Same exclusive_vs_presence caveat.,False,True,117,0.6774,0.6562,0.6667,0.544,0.5,0.4286,0.8096,0.0
117A-2::GB254=1,117A,2,Genitive,GB254=1,GB254,NEAR_EXACT,B,exclusive_vs_presence,doc_link,Both code genitive predicative possession strategy.,False,True,115,0.2727,0.8,0.4068,0.3326,0.2553,0.1738,0.5556,0.0
117A-4::GB256=1,117A,4,Conjunctional,GB256=1,GB256,NEAR_EXACT,B,exclusive_vs_presence,doc_link,Both code conjunctional/comitative predicative possession.,False,True,116,0.6667,0.56,0.6087,0.5159,0.4375,0.3659,0.7749,0.0
121A-2::GB265=1,121A,2,Exceed,GB265=1,GB265,NEAR_EXACT,A,exclusive_vs_presence,doc_link,Both code exceed/surpass comparative strategy.,True,True,95,0.5625,1.0,0.72,0.6784,0.5625,0.3636,0.9016,0.0
121A-1::GB266=1,121A,1,Locational,GB266=1,GB266,NEAR_EXACT,A,exclusive_vs_presence,doc_link,Both code locational comparative strategy.,True,True,95,0.7297,0.54,0.6207,0.3254,0.45,0.4701,0.7457,0.004
121A-3::GB270=1,121A,3,Conjoined,GB270=1,GB270,NEAR_EXACT,A,exclusive_vs_presence,doc_link,Both code conjoined comparative strategy.,True,True,90,0.5882,0.7692,0.6667,0.6092,0.5,0.4444,0.8426,0.0
121A-4::GB273=1,121A,4,Particle,GB273=1,GB273,NEAR_EXACT,A,exclusive_vs_presence,doc_link,Both code particle/morpheme comparative strategy.,True,True,94,0.2195,0.6923,0.3333,0.2069,0.2,0.0571,0.5064,0.052
59A-1::GB058=0,59A,1,No possessive classification,GB058=0,GB058,NEAR_EXACT,A,none,doc_link,Both assert no possessive classifier system.,True,True,164,0.5724,0.956,0.716,0.1253,0.5577,0.6378,0.787,0.124
59A-2::GB058=1,59A,2,Two classes,GB058=1,GB058,DIRECTIONAL,A,presence_vs_dominance,doc_link,WALS 59A values with any classes imply GB058=1. WALS preserves class count; GB only presence.,True,True,164,0.5833,0.1207,0.2,0.135,0.1111,0.0863,0.3243,0.096
59A-3::GB058=1,59A,3,Three to five classes,GB058=1,GB058,DIRECTIONAL,A,presence_vs_dominance,doc_link,Same directional logic.,True,True,164,0.0,0.0,0.0,-0.0824,0.0,0.0,0.0,1.0
59A-4::GB058=1,59A,4,More than five classes,GB058=1,GB058,DIRECTIONAL,A,presence_vs_dominance,doc_link,Same directional logic.,True,True,164,0.0833,0.5,0.1429,0.1821,0.0769,0.0,0.4663,0.134
